"CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập – Tự do – Hạnh phúc
------------------
DANH SÁCH THỦ TỤC HÀNH CHÍNH",,,,,,,,,,,
,,,,,,,,,,,
STT,Mã TTHC,Tên TTHC,QĐ Công bố,Đối tượng,Lĩnh vực,Cơ quan công khai,Cấp thực hiện,Tình trạng,Tên giấy tờ,"Mẫu đơn, tờ khai",Tên File
1,1.002407.000.00.00.H12,"Xét, cấp học bổng chính sách",1724/QĐ-UBND,Công dân Việt Nam,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân (Bộ Giáo dục và Đào tạo),UBND tỉnh Cà Mau,Cấp Xã,Công khai,,,
2,1.009444.000.00.00.H12,"Gia hạn hoạt động cảng, bến thủy nội địa",1716/QĐ-UBND,"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã",Hàng hải và đường thủy nội địa (Bộ Xây dựng),UBND tỉnh Cà Mau,Cấp Bộ; Cấp Tỉnh; Cấp Xã,Công khai,,,
3,1.012585.000.00.00.H12,THỦ TỤC ĐĂNG KÝ THAY ĐỔI NGƯỜI ĐẠI DIỆN CỦA NHÓM SINH HOẠT TÔN GIÁO TẬP TRUNG (CẤP XÃ),1240/QĐ-UBND,"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)","Tín ngưỡng, tôn giáo (Dân tộc và Tôn giáo)",UBND tỉnh Cà Mau,Cấp Xã,Công khai,,,
4,1.012695.000.00.00.H12,"Quyết định thu hồi rừng đối với hộ gia đình, cá nhân và cộng đồng dân cư tự nguyện trả lại rừng",855/QĐ-UBND,Công dân Việt Nam; Hợp tác xã,Kiểm lâm (Bộ Nông nghiệp và Môi trường),UBND tỉnh Cà Mau,Cấp Xã,Công khai,,,
5,2.002648.000.00.00.H12,"Hiệu đính, cập nhật, bổ sung thông tin đăng ký hợp tác xã, liên hiệp hợp tác xã",1257/QĐ-UBND,Công dân Việt Nam; Hợp tác xã,"Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã (Bộ Tài chính)",UBND tỉnh Cà Mau,Cấp Xã,Công khai,,,
6,3.000325.000.00.00.H12,Thanh toán chi phí liên quan đến xử lý tài sản kết cấu hạ tầng thủy lợi,192/QĐ-UBND,Doanh nghiệp,Quản lý công sản (Bộ Tài chính),UBND tỉnh Cà Mau,Cấp Tỉnh; Cấp Xã,Công khai,,,
